Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BrewTrollerPhoenix.brd" as of: 3/2/17 5:11 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
$$$$U$2,Top,5.625,2.650,0
$$U$2,Top,0.001,2.650,0
BOARDZERO,Top,-0.000,-0.000,0
C1,Top,0.214,2.581,90
C2,Top,4.995,2.536,90
C3,Top,5.144,2.536,90
C4,Top,4.683,2.488,270
C5,Top,0.462,2.372,0
C6,Top,3.428,2.328,270
C7,Top,2.581,2.288,0
C8,Top,0.839,2.227,0
C9,Top,1.216,2.101,270
C10,Top,1.557,2.101,270
C11,Top,5.019,2.018,180
C12,Top,3.312,1.968,0
C13,Top,2.415,1.966,0
C14,Top,1.631,1.858,180
C15,Top,3.196,1.757,0
C16,Top,1.502,1.703,90
C17,Top,1.868,1.696,0
C18,Top,0.233,1.649,270
C19,Top,0.575,1.632,0
C20,Top,0.707,1.632,180
C21,Top,1.226,1.615,180
C22,Top,0.053,1.580,90
C23,Top,2.796,1.451,180
C24,Top,2.576,1.450,180
C25,Top,3.489,1.445,0
C26,Top,0.378,1.405,270
C27,Top,3.511,1.381,0
C28,Top,0.998,1.345,0
C29,Top,2.747,1.332,270
C30,Top,0.392,1.254,90
C31,Top,1.324,1.202,270
C32,Top,0.921,1.113,0
C33,Top,1.211,1.097,90
C34,Top,3.133,1.093,270
C35,Top,0.921,1.056,0
C36,Top,0.555,1.032,180
C37,Top,0.710,1.031,180
C38,Top,0.996,0.979,0
C39,Top,0.209,0.971,90
C40,Top,3.662,0.953,0
C41,Top,3.841,0.886,270
C42,Top,4.000,0.886,270
C43,Top,4.160,0.886,270
C44,Top,4.319,0.886,270
C45,Top,0.464,0.854,270
C46,Top,2.510,0.630,270
C47,Top,2.630,0.630,270
C48,Top,2.750,0.630,270
C49,Top,2.870,0.630,270
C50,Top,2.990,0.630,270
C51,Top,3.110,0.630,270
C52,Top,3.230,0.630,270
C53,Top,3.350,0.630,270
C54,Top,1.775,0.588,180
C55,Top,1.993,0.552,270
C56,Top,1.868,0.488,180
C57,Top,3.584,0.464,180
D1,Top,0.350,2.743,0
D2,Top,0.532,1.991,180
D3,Top,2.510,0.770,90
D4,Top,2.630,0.770,90
D5,Top,2.750,0.770,90
D6,Top,2.870,0.770,90
D7,Top,2.990,0.770,90
D8,Top,3.110,0.770,90
D9,Top,3.230,0.770,90
D10,Top,3.350,0.770,90
D11,Top,-0.265,0.762,180
IC1,Top,0.765,2.410,0
IC2,Top,5.026,2.274,0
IC3,Top,2.140,2.100,180
IC4,Top,3.020,2.100,180
IC5,Top,1.315,1.702,90
IC6,Top,1.906,1.623,180
IC7,Top,1.577,1.431,0
IC8,Top,3.131,1.429,0
IC9,Top,0.216,1.426,180
IC10,Top,1.285,1.413,270
IC11,Top,0.672,1.318,270
IC12,Top,1.603,0.690,180
IC13,Top,2.128,0.690,0
L1,Top,0.351,2.636,0
L2,Top,0.874,2.042,270
L3,Top,1.397,1.891,0
L4,Top,3.525,1.278,90
L5,Top,3.470,1.050,0
L6,Top,3.469,0.953,0
L7,Top,0.327,0.674,0
L8,Top,2.200,0.360,180
LED1,Top,0.775,3.130,270
LED2,Top,5.445,2.836,0
LED3,Top,5.535,2.836,0
LED4,Top,1.931,2.755,0
LED5,Top,2.101,2.755,0
LED6,Top,2.271,2.755,0
LED7,Top,2.441,2.755,0
LED8,Top,2.611,2.755,0
LED9,Top,2.781,2.755,0
LED10,Top,2.951,2.755,0
LED11,Top,3.121,2.755,0
LED12,Top,3.291,2.755,0
LED13,Top,3.461,2.755,0
LED14,Top,3.631,2.755,0
LED15,Top,3.802,2.755,0
LED16,Top,3.973,2.755,0
LED17,Top,4.139,2.755,0
LED18,Top,0.911,2.755,0
LED19,Top,1.081,2.755,0
LED20,Top,1.251,2.755,0
LED21,Top,1.421,2.755,0
LED22,Top,1.591,2.755,0
LED23,Top,1.761,2.755,0
LED27,Top,4.980,0.333,270
LED28,Top,4.980,0.255,270
LED29,Top,4.980,0.173,270
LED30,Top,4.980,0.099,270
OK1,Top,0.146,2.246,180
Q1,Top,0.826,2.755,0
Q2,Top,0.996,2.755,0
Q3,Top,1.166,2.755,0
Q4,Top,1.336,2.755,0
Q5,Top,1.506,2.755,0
Q6,Top,1.676,2.755,0
Q7,Top,1.846,2.755,0
Q8,Top,2.016,2.755,0
Q9,Top,2.186,2.755,0
Q10,Top,2.356,2.755,0
Q11,Top,2.526,2.755,0
Q12,Top,2.696,2.755,0
Q13,Top,2.866,2.755,0
Q14,Top,3.036,2.755,0
Q15,Top,3.206,2.755,0
Q16,Top,3.376,2.755,0
Q17,Top,3.546,2.755,0
Q18,Top,3.717,2.755,0
Q19,Top,3.887,2.755,0
Q20,Top,4.057,2.755,0
Q21,Top,0.183,1.849,0
R1,Top,0.778,3.042,0
R2,Top,5.070,2.671,90
R3,Top,0.007,2.548,0
R4,Top,5.069,2.536,270
R5,Top,5.360,2.516,270
R6,Top,5.587,2.516,270
R7,Top,1.450,2.500,0
R8,Top,1.900,2.500,0
R9,Top,2.500,2.500,0
R10,Top,3.200,2.500,0
R11,Top,3.850,2.500,0
R12,Top,0.935,2.495,270
R13,Top,0.935,2.357,90
R14,Top,0.501,2.132,0
R15,Top,1.860,2.100,90
R16,Top,2.420,2.100,270
R17,Top,2.740,2.100,270
R18,Top,3.300,2.100,90
R20,Top,0.291,2.036,270
R21,Top,3.186,1.893,0
R22,Top,1.981,1.892,180
R23,Top,0.067,1.859,90
R24,Top,2.886,1.848,270
R26,Top,0.361,1.797,0
R27,Top,0.380,1.627,90
R28,Top,1.026,1.578,0
R29,Top,0.448,1.561,270
R30,Top,2.746,1.531,180
R32,Top,1.014,1.246,180
R33,Top,1.047,1.096,90
R34,Top,1.144,1.096,90
R35,Top,0.414,1.012,270
R36,Top,0.799,0.936,270
R37,Top,0.896,0.936,270
R38,Top,2.206,0.909,90
R39,Top,3.761,0.886,270
R40,Top,3.920,0.886,270
R41,Top,4.080,0.886,270
R42,Top,4.240,0.886,270
R43,Top,1.283,0.788,90
R44,Top,2.266,0.741,90
R45,Top,0.484,0.699,90
R46,Top,1.664,0.482,180
R47,Top,1.512,0.481,180
R48,Top,2.590,0.480,0
R49,Top,3.120,0.480,0
R50,Top,1.328,0.358,0
R51,Top,4.827,0.333,0
R52,Top,4.827,0.255,0
R53,Top,4.828,0.174,180
R54,Top,4.829,0.097,0
R55,Top,4.050,2.629,180
R56,Top,3.898,2.629,180
R57,Top,3.730,2.628,180
R58,Top,3.556,2.629,180
R59,Top,3.369,2.629,180
R60,Top,3.220,2.630,180
R61,Top,3.039,2.631,180
R62,Top,2.875,2.630,180
R63,Top,2.709,2.631,180
R64,Top,2.520,2.630,180
R65,Top,2.355,2.630,180
R66,Top,2.185,2.630,180
R67,Top,2.025,2.630,180
R68,Top,1.845,2.630,180
R69,Top,1.705,2.630,180
R70,Top,1.550,2.630,180
R71,Top,1.350,2.630,180
R72,Top,1.185,2.630,180
R73,Top,1.010,2.630,180
R74,Top,0.865,2.630,180
S1,Top,5.359,0.399,0
S2,Top,5.361,0.095,0
SJ1,Top,2.026,0.896,0
SJ2,Top,1.919,0.810,270
SKEW,Top,5.625,-0.000,0
U$6,Top,0.609,2.704,180
XTAL1,Top,2.588,1.349,180
XTAL2,Top,0.620,0.933,180
